Tabela 6957 - Produção, Valor da produção, Venda, Valor da venda e Área colhida da lavoura temporária nos estabelecimentos agropecuários, por tipologia, produtos da lavoura temporária, condição do produtor em relação às terras e grupos de atividade econômica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Ano x Tipologia x Variável x Grupos de atividade econômica x Condição do produtor em relação às terras x Produtos da lavoura temporária;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Área colhida nas lavouras temporárias (Hectares);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cód.;Brasil e Município;Total;Abacaxi;Abóbora, moranga, jerimum;Algodão herbáceo;Alho;Amendoim em casca;Arroz em casca;Aveia branca em grão;Batata-inglesa;Cana-de-açúcar;Cebola;Centeio em grão;Cevada em casca;Colza (canola);Ervilha em grão;Fava em grão;Feijão preto em grão;Feijão de cor em grão;Feijão fradinho em grão;Feijão verde;Fumo em folha seca;Gergelim (semente);Girassol (semente);Juta (fibra);Linho (fibra);Malva (fibra);Mamona;Mandioca (aipim, macaxeira);Melancia;Melão;Milho em grão;Rami (fibra);Soja em grão;Sorgo em grão;Sorgo vassoura;Tomate rasteiro (industrial);Trigo em grão;Trigo preto em grão;Triticale em grão;Forrageiras para corte;Cana forrageira;Milho forrageiro;Palma forrageira;Sorgo forrageiro;Outros produtos;Sementes de algodão (produzidas para plantio);Sementes de arroz (produzidas para plantio);Sementes de feijão (produzidas para plantio);Sementes de milho (produzidas para plantio);Sementes de soja (produzidas para plantio);Sementes de trigo (produzidas para plantio);Sementes de forrageiras (produzidas para plantio);Sementes de batata-inglesa (produzidas para plantio);Toletes de cana-de-açúcar (produzidas para plantio);Sementes e outras formas de propagação de outros produtos (produzidas para plantio)
1;Brasil;67658174;46335;78671;912563;9207;96256;1716600;473046;85093;9127645;54772;2752;77195;16836;1691;40818;287478;778342;928691;118613;300546;8607;40974;50;2283;2202;31079;740611;90650;26675;15783895;54;30722657;543456;3945;22026;1788027;3202;6435;180972;127465;1387706;96900;154844;288598;225;6352;5444;60274;152984;15963;109715;2261;56430;42062
1100015;Alta Floresta D'Oeste (RO);3505;4;10;-;-;7;43;-;X;4;X;-;-;-;-;-;205;594;29;6;-;-;-;-;-;-;-;114;10;0;1543;-;871;-;X;3;-;-;-;-;4;54;-;-;-;-;-;-;-;-;-;-;-;-;-
1100023;Ariquemes (RO);5318;30;23;-;-;12;179;-;X;30;X;-;-;-;-;-;X;2;16;X;-;1;-;-;-;-;X;275;41;X;1282;-;3184;-;X;-;-;-;-;-;7;11;-;-;X;-;X;-;-;-;-;-;-;-;-
1100031;Cabixi (RO);43355;7;2;-;-;7;4177;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;21;-;13611;-;24751;-;-;-;-;-;-;-;X;738;-;-;X;-;-;-;-;-;-;-;-;-;-
1100049;Cacoal (RO);1839;75;17;-;-;3;6;-;X;10;X;-;-;-;-;-;X;18;29;1;-;-;-;-;-;-;-;124;19;X;501;-;1019;-;-;1;-;-;-;-;3;9;-;-;X;-;-;-;-;-;-;-;-;-;X
1100056;Cerejeiras (RO);62892;41;2;-;-;11;853;-;-;6;-;-;-;-;-;-;-;X;X;-;-;-;-;-;-;-;-;26;18;X;27227;-;33866;X;X;-;-;-;-;X;2;739;-;-;X;-;-;-;-;-;-;-;-;-;-
1100064;Colorado do Oeste (RO);2820;1;6;-;X;6;-;-;X;8;X;-;-;-;-;-;X;8;11;X;-;-;-;-;-;-;-;122;6;-;859;-;1548;-;-;-;-;-;-;3;39;187;-;X;X;-;-;-;-;-;-;-;-;-;-
1100072;Corumbiara (RO);75745;14;2;X;-;0;511;-;-;17;-;-;-;-;-;X;X;5;3;X;-;-;-;-;-;-;-;34;2;X;26989;-;45321;2225;-;-;-;-;-;-;3;600;-;-;0;-;X;-;-;-;-;-;-;-;-
1100080;Costa Marques (RO);660;22;29;-;-;7;28;-;-;6;X;-;-;-;-;-;2;42;6;X;-;-;-;-;-;-;-;229;19;-;262;-;-;-;-;X;-;-;-;-;5;X;-;-;-;-;-;-;-;-;-;-;-;-;-
1100098;Espigão D'Oeste (RO);2447;17;17;-;-;X;2;-;-;18;X;-;-;-;-;-;X;17;X;-;-;-;-;-;-;-;-;140;3;-;430;-;1695;X;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-
1100106;Guajará-Mirim (RO);773;13;X;-;-;1;13;-;-;4;-;-;-;-;-;-;-;26;1;-;-;-;-;-;-;-;-;660;8;-;47;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-
1100114;Jaru (RO);600;4;12;-;-;1;2;-;1;16;X;-;-;-;-;-;X;16;2;21;-;-;-;-;-;-;-;125;33;X;178;-;-;-;-;0;-;-;-;-;6;181;-;-;X;-;-;-;-;-;-;-;-;-;-
1100122;Ji-Paraná (RO);692;5;10;-;-;-;-;-;X;13;-;-;-;-;-;-;-;3;15;6;-;-;-;-;-;-;-;134;19;-;325;-;-;-;-;X;-;-;-;-;12;149;-;-;X;-;-;-;-;-;-;-;-;-;-
1100130;Machadinho D'Oeste (RO);4318;32;8;-;-;3;205;-;-;10;X;-;-;-;-;-;1;9;X;4;-;-;-;-;-;-;-;292;39;-;913;-;2592;-;-;X;-;-;-;-;X;35;-;-;170;-;-;-;-;-;-;-;-;-;-
1100148;Nova Brasilândia D'Oeste (RO);576;3;3;-;-;-;26;-;-;-;-;-;-;-;-;-;X;31;X;5;-;-;-;-;-;-;-;21;4;-;179;-;X;-;-;-;-;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1100155;Ouro Preto do Oeste (RO);213;1;5;-;-;X;X;-;-;16;-;-;-;-;-;-;-;4;4;3;-;X;-;-;-;-;X;96;10;-;34;-;-;-;-;X;-;-;-;X;17;15;-;-;7;-;-;-;-;-;-;-;-;-;-
1100189;Pimenta Bueno (RO);121;27;4;-;-;X;-;-;-;X;-;-;-;-;-;-;-;5;X;X;-;-;-;-;-;-;-;51;3;-;23;-;-;-;-;-;-;-;-;-;X;-;-;-;X;-;-;-;-;-;-;-;-;-;-
1100205;Porto Velho (RO);7936;92;61;-;-;6;3083;-;2;30;X;-;-;-;-;X;X;118;4;3;-;-;-;-;-;-;-;1406;69;1;656;-;X;-;X;1;-;-;-;-;4;30;-;-;12;-;-;-;-;-;-;-;-;-;X
1100254;Presidente Médici (RO);371;9;35;-;-;5;X;-;-;20;-;-;-;-;-;-;-;15;8;5;-;-;-;-;-;-;-;127;10;X;123;-;-;-;-;X;-;-;-;-;3;6;-;-;X;-;-;-;-;-;-;-;-;-;-
1100262;Rio Crespo (RO);8089;74;X;-;-;0;1292;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;21;3;-;1731;-;4953;-;-;-;-;-;-;-;X;-;-;-;-;-;-;-;X;-;-;-;-;-;-
1100288;Rolim de Moura (RO);4097;57;20;-;-;11;292;-;X;16;-;-;-;-;-;-;-;38;6;X;-;-;-;-;-;-;-;136;27;X;1028;-;1896;-;-;X;-;-;-;19;X;534;-;-;15;-;-;-;-;-;-;-;-;-;-
